expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
amma,amma,disj-nspk-q-exc,0,0,1,0,0,0,1,0,,,neither,
amma,amma,disj-nspk-q-inc,?,0,,1,0,0,1,0,,,neither,
amma,amma,neither-sta,0,1,,1,0,0,0,0,0,hausa-con-evid34,neither,
amma,amma,neither-epi,0,1,,0,1,0,0,0,,,neither,
amma,amma,fc,0,0,,0,0,0,0,1,,,neither,
amma,amma,negative,0,1,,1,,0,0,0,,,neither,
ko,ko,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,hausa-con-evid42,neither,
ko,ko,conj-nocontrast-epi,1,0,0,0,0,1,0,0,,,neither,
ko,ko,conj-contrast-sta,1,0,1,1,0,1,0,0,0,hausa-con-evid46,neither,
ko,ko,conj-contrast-epi,1,0,1,0,0,1,0,0,,,neither,
ko,ko,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,,,neither,
ko,ko,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,,,neither,
ko,ko,disj-spk,0,0,,1,0,1,0,0,,,neither,
ko,ko,disj-nspk-epi,0,0,1,0,0,0,0,0,,,neither,
ko,ko,disj-nspk-sta-exc,0,0,,1,0,0,0,0,?,hausa-con-evid50,neither,
ko,ko,disj-nspk-sta-inc,?,0,,1,0,0,0,0,?,hausa-con-evid54,neither,
ko,ko,disj-nspk-q-exc,0,0,1,1,0,0,1,0,1,"hausa-con-evid18, hausa-con-evid61",neither,
ko,ko,disj-nspk-q-inc,?,0,,1,0,0,1,0,1,hausa-con-evid20,neither,
ko,ko,neither-sta,0,1,,1,0,0,0,0,0,hausa-con-evid58,neither,
ko,ko,neither-epi,0,1,,0,1,0,0,0,,,neither,
ko,ko,fc,0,0,,0,0,0,0,1,1,hausa-con-evid24,neither,
ko,ko,negative,0,1,,1,,0,0,0,,,neither,
ko,ko kuma,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,hausa-con-evid41,neither,
ko,ko kuma,conj-nocontrast-epi,1,0,0,0,0,1,0,0,,,neither,
ko,ko kuma,conj-contrast-sta,1,0,1,1,0,1,0,0,0,hausa-con-evid45,neither,
ko,ko kuma,conj-contrast-epi,1,0,1,0,0,1,0,0,,,neither,
ko,ko kuma,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,,,neither,
ko,ko kuma,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,,,neither,
ko,ko kuma,disj-spk,0,0,,1,0,1,0,0,,,neither,
ko,ko kuma,disj-nspk-epi,0,0,1,0,0,0,0,0,1,hausa-con-evid13,neither,
ko,ko kuma,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,hausa-con-evid14,neither,
ko,ko kuma,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,"hausa-con-evid15, hausa-con-evid16",neither,
ko,ko kuma,disj-nspk-q-exc,0,0,1,1,0,0,1,0,1,"hausa-con-evid17, hausa-con-evid60, hausa-con-evid18, hausa-con-evid61",neither,
ko,ko kuma,disj-nspk-q-inc,?,0,,1,0,0,1,0,1,hausa-con-evid19,neither,
ko,ko kuma,neither-sta,0,1,,1,0,0,0,0,0,hausa-con-evid58,neither,
ko,ko kuma,neither-epi,0,1,,0,1,0,0,0,,,neither,
ko,ko kuma,fc,0,0,,0,0,0,0,1,1,hausa-con-evid23,neither,
ko,ko kuma,negative,0,1,,1,,0,0,0,,,neither,
ko,ko-dai ... ko ...,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,hausa-con-evid40,neither,
ko,ko-dai ... ko ...,conj-nocontrast-epi,1,0,0,0,0,1,0,0,,,neither,
ko,ko-dai ... ko ...,conj-contrast-sta,1,0,1,1,0,1,0,0,0,hausa-con-evid44,neither,
ko,ko-dai ... ko ...,conj-contrast-epi,1,0,1,0,0,1,0,0,,,neither,
ko,ko-dai ... ko ...,conj-contrast-negp-sta,1,0,1,1,1,1,0,0,,,neither,
ko,ko-dai ... ko ...,conj-contrast-negp-epi,1,0,1,0,1,1,0,0,,,neither,
ko,ko-dai ... ko ...,disj-spk,0,0,,1,0,1,0,0,1,"hausa-con-evid10, hausa-con-evid12",neither,
ko,ko-dai ... ko ...,disj-nspk-epi,0,0,1,0,0,0,0,0,,,neither,
ko,ko-dai ... ko ...,disj-nspk-sta-exc,0,0,,1,0,0,0,0,1,hausa-con-evid48,neither,
ko,ko-dai ... ko ...,disj-nspk-sta-inc,?,0,,1,0,0,0,0,1,hausa-con-evid52,neither,
ko,ko-dai ... ko ...,disj-nspk-q-exc,0,0,1,1,0,0,1,0,?,hausa-con-evid63,neither,
ko,ko-dai ... ko ...,disj-nspk-q-inc,?,0,,1,0,0,1,0,,,neither,
ko,ko-dai ... ko ...,neither-sta,0,1,,1,0,0,0,0,0,hausa-con-evid56,neither,
ko,ko-dai ... ko ...,neither-epi,0,1,,0,1,0,0,0,,,neither,
ko,ko-dai ... ko ...,fc,0,0,,0,0,0,0,1,1,hausa-con-evid71,neither,
ko,ko-dai ... ko ...,negative,0,1,,1,,0,0,0,,,neither,
ko,ko-dai ... ko kuma ...,conj-nocontrast-sta,1,0,0,1,0,1,0,0,0,hausa-con-evid39,neither,
ko,ko-dai ... ko kuma ...,conj-nocontrast-epi,1,0,0,0,0,1,0,0,,,neither,
ko,ko-dai ... ko kuma ...,conj-contrast-sta,1,0,1,1,0,1,0,0,0,hausa-con-evid43,neither,
ko,ko-dai ... ko kuma ...,conj-contrast-epi,1,0,1,0,0,1,0,0,,,neither,
